Date,Station,Depth.m,Temperature.C,Salinity.PSU,Density.kg.m^-3,PAR,Fluorescence.mg.m^-3,Turbidity.NTU,Beam.1.m^-1,OxygenConcentration.umole.kg^-1,OxygenSaturation
20170912,4,38.001,9.8888,32.2371,24.8142,1.75E+00,0.348,0.0006,6.586,218.798,77.92308
20170912,4,38.222,9.8801,32.2384,24.8167,1.67E+00,0.409,0.0006,6.5798,218.842,77.92479
20170912,4,38.433,9.8664,32.2392,24.8196,1.61E+00,0.4334,0.0006,6.5784,218.903,77.92365
20170912,4,38.626,9.8479,32.2375,24.8213,1.56E+00,0.4342,0.0006,6.5773,219.055,77.94538
20170912,4,38.814,9.8388,32.2352,24.821,1.50E+00,0.4342,0.0005,6.5633,219.191,77.9771
20170912,4,39.008,9.8337,32.2348,24.8215,1.45E+00,0.4105,0.0005,6.5608,219.471,78.06766
20170912,4,39.23,9.8275,32.2349,24.8226,1.39E+00,0.3846,0.0005,6.5646,219.482,78.0611
20170912,4,39.476,9.8177,32.2371,24.8259,1.33E+00,0.3922,0.0005,6.5623,219.457,78.03707
20170912,4,39.704,9.8155,32.2346,24.8243,1.28E+00,0.409,0.0005,6.5585,219.564,78.06997
20170912,4,39.914,9.815,32.2355,24.8251,1.25E+00,0.425,0.0005,6.5426,219.591,78.07922
20170912,4,40.155,9.8132,32.2363,24.8261,1.20E+00,0.483,0.0005,6.5369,219.781,78.1443
20170912,4,40.434,9.8114,32.2377,24.8274,1.15E+00,0.4815,0.0005,6.5287,219.796,78.14723
20170912,4,40.695,9.8109,32.2379,24.8276,1.10E+00,0.47,0.0005,6.5264,219.96,78.20464
20170912,4,40.915,9.8116,32.2391,24.8285,1.06E+00,0.4708,0.0005,6.5219,220.26,78.31341
20170912,4,41.122,9.8256,32.236,24.8238,1.03E+00,0.3998,0.0005,6.527,220.549,78.43813
20170912,4,41.331,9.8406,32.2457,24.8289,1.00E+00,0.3968,0.0005,6.5286,220.63,78.49808
20170912,4,41.537,9.8402,32.2482,24.831,9.66E-01,0.3762,0.0005,6.5232,220.784,78.55352
20170912,4,41.734,9.8424,32.2467,24.8294,9.31E-01,0.3724,0.0005,6.5243,220.826,78.57124
20170912,4,41.94,9.8434,32.2487,24.8308,8.96E-01,0.3899,0.0004,6.5262,220.942,78.61544
20170912,4,42.17,9.8535,32.2484,24.8289,8.59E-01,0.3976,0.0004,6.5279,221.042,78.66811
20170912,4,42.414,9.8516,32.2542,24.8337,8.23E-01,0.4266,0.0004,6.5288,220.912,78.62203
20170912,4,42.675,9.8545,32.2533,24.8326,7.85E-01,0.4464,0.0004,6.5047,220.822,78.59443
20170912,4,42.901,9.8469,32.2556,24.8356,7.59E-01,0.4349,0.0005,6.4993,220.825,78.58399
20170912,4,43.027,9.8394,32.2515,24.8337,7.34E-01,0.422,0.0005,6.4864,221.103,78.66735
20170912,4,43.16,9.8209,32.2592,24.8427,7.21E-01,0.4136,0.0005,6.4802,221.664,78.83995
20170912,4,43.418,9.7797,32.2599,24.85,6.96E-01,0.3976,0.0004,6.4761,222.292,78.99279
20170912,4,43.743,9.7371,32.2631,24.8594,6.60E-01,0.3861,0.0005,6.4797,222.878,79.12966
20170912,4,44.009,9.7157,32.2611,24.8613,6.27E-01,0.348,0.0005,6.4815,223.256,79.22574
20170912,4,44.192,9.691,32.2615,24.8657,6.05E-01,0.3457,0.0005,6.4878,223.514,79.27468
20170912,4,44.375,9.6723,32.2571,24.8652,5.86E-01,0.3228,0.0005,6.49,223.758,79.3266
20170912,4,44.563,9.6668,32.2547,24.8643,5.69E-01,0.3236,0.0005,6.4921,223.679,79.28747
20170912,4,44.735,9.6686,32.2526,24.8624,5.50E-01,0.335,0.0005,6.4906,223.37,79.17999
20170912,4,44.925,9.676,32.2551,24.8631,5.32E-01,0.3358,0.0005,6.4896,222.983,79.05701
20170912,4,45.17,9.6863,32.2543,24.8608,5.15E-01,0.3358,0.0005,6.4876,222.672,78.96386
20170912,4,45.428,9.6995,32.2609,24.8638,4.95E-01,0.3358,0.0005,6.4917,222.254,78.84222
20170912,4,45.63,9.7173,32.2647,24.8639,4.79E-01,0.3533,0.0005,6.4959,221.711,78.68225
20170912,4,45.773,9.7246,32.2727,24.869,4.64E-01,0.3602,0.0005,6.4962,221.298,78.55242
20170912,4,45.892,9.7273,32.2742,24.8697,4.50E-01,0.3236,0.0004,6.495,220.948,78.43378
20170912,4,46.037,9.7316,32.2761,24.8705,4.46E-01,0.2991,0.0004,6.4877,220.707,78.35678
20170912,4,46.266,9.7264,32.2813,24.8754,4.33E-01,0.2869,0.0004,6.4841,220.561,78.29892
20170912,4,46.539,9.7116,32.2848,24.8806,4.08E-01,0.274,0.0004,6.4799,220.512,78.25832
20170912,4,46.755,9.6923,32.2874,24.8857,3.96E-01,0.2785,0.0004,6.4676,220.779,78.32146
20170912,4,46.926,9.6826,32.2834,24.8842,3.83E-01,0.2862,0.0004,6.4621,221.259,78.473
20170912,4,47.11,9.6763,32.285,24.8864,3.73E-01,0.2755,0.0004,6.4523,221.812,78.65909
20170912,4,47.327,9.6692,32.2836,24.8865,3.59E-01,0.2373,0.0003,6.4501,222.504,78.89143
20170912,4,47.563,9.6592,32.2857,24.8898,3.43E-01,0.2389,0.0003,6.4453,223.07,79.07609
20170912,4,47.799,9.654,32.2831,24.8886,3.32E-01,0.2503,0.0004,6.4447,223.542,79.23299
20170912,4,48.005,9.6489,32.2841,24.8902,3.20E-01,0.2495,0.0004,6.4444,223.915,79.35708
20170912,4,48.167,9.6413,32.286,24.8929,3.17E-01,0.2618,0.0004,6.448,224.06,79.39658
20170912,4,48.337,9.6316,32.2887,24.8966,3.05E-01,0.2625,0.0004,6.4478,224.16,79.41651
20170912,4,48.556,9.619,32.2898,24.8995,2.93E-01,0.2099,0.0004,6.4473,224.055,79.35831
20170912,4,48.788,9.5993,32.2983,24.9093,2.82E-01,0.2,0.0003,6.448,223.764,79.22592
20170912,4,49.006,9.5264,32.311,24.9309,2.73E-01,0.245,0.0004,6.4484,223.933,79.16682
20170912,4,49.254,9.506,32.3024,24.9275,2.64E-01,0.2625,0.0004,6.4458,223.869,79.104
20170912,4,49.571,9.501,32.301,24.9272,2.51E-01,0.2328,0.0004,6.4466,223.735,79.04735
20170912,4,49.9,9.4999,32.3005,24.927,2.42E-01,0.2129,0.0004,6.4474,223.674,79.0237
20170912,4,50.143,9.4983,32.3008,24.9275,2.29E-01,0.2068,0.0004,6.448,223.436,78.93688
20170912,4,50.288,9.4964,32.301,24.928,2.19E-01,0.2,0.0004,6.4488,223.227,78.85985
20170912,4,50.498,9.4922,32.3016,24.9291,2.13E-01,0.1961,0.0004,6.449,222.892,78.73464
